,
State,IU grads
Alabama,2298
Alaska,522
Arizona,8813
Arkansas,1236
California,27979
Colorado,10560
Connecticut,3045
Delaware,595
Florida,27462
Georgia,9585
Hawaii,1064
Idaho,920
Illinois,45698
Indiana,408404
Iowa,1958
Kansas,1977
Kentucky,15539
Louisiana,1262
Maine,926
Maryland,6122
Massachusetts,5332
Michigan,15859
Minnesota,5203
Mississippi,850
Missouri,6769
Montana,769
Nebraska,1003
Nevada,2124
New Hampshire,899
New Jersey,6973
New Mexico,1719
New York,13174
North Carolina,10337
North Dakota,251
Ohio,20686
Oklahoma,1296
Oregon,3929
Pennsylvania,7261
Rhode Island,573
South Carolina,4989
South Dakota,333
Tennessee,7759
Texas,18858
Utah,1793
Vermont,648
Virginia,9431
Washington,7421
West Virginia,617
Wisconsin,6378
Wyoming,372
District of Columbia,2427
